epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
500,0,7.345634e-02,6.847934e-03,8.030427e-02,7.582498e-01,2.060408e-06
500,0,7.345634e-02,6.847934e-03,8.030427e-02,7.582498e-01,2.060408e-06
500,1,6.870396e-02,5.742874e-03,7.444684e-02,6.429914e-01,1.888922e-06
500,1,6.870396e-02,5.742874e-03,7.444684e-02,6.429914e-01,1.888922e-06
500,2,7.120204e-02,5.555027e-03,7.675707e-02,6.267048e-01,1.757232e-06
500,2,7.120204e-02,5.555027e-03,7.675707e-02,6.267048e-01,1.757232e-06
500,3,5.885837e-02,6.291467e-03,6.514984e-02,6.880051e-01,1.952202e-06
500,3,5.885837e-02,6.291467e-03,6.514984e-02,6.880051e-01,1.952202e-06
500,4,7.387176e-02,7.937072e-03,8.180884e-02,8.675790e-01,2.400891e-06
500,4,7.387176e-02,7.937072e-03,8.180884e-02,8.675790e-01,2.400891e-06
500,5,6.777914e-02,6.357417e-03,7.413656e-02,7.035208e-01,2.018030e-06
500,5,6.777914e-02,6.357417e-03,7.413656e-02,7.035208e-01,2.018030e-06
500,6,8.272466e-02,7.426457e-03,9.015112e-02,8.253704e-01,2.272439e-06
500,6,8.272466e-02,7.426457e-03,9.015112e-02,8.253704e-01,2.272439e-06
500,7,6.202402e-02,6.170244e-03,6.819426e-02,6.790484e-01,1.957458e-06
500,7,6.202402e-02,6.170244e-03,6.819426e-02,6.790484e-01,1.957458e-06
500,8,6.421379e-02,5.791199e-03,7.000498e-02,6.433337e-01,1.906492e-06
500,8,6.421379e-02,5.791199e-03,7.000498e-02,6.433337e-01,1.906492e-06
500,9,7.275652e-02,6.658001e-03,7.941452e-02,7.385566e-01,2.240946e-06
500,9,7.275652e-02,6.658001e-03,7.941452e-02,7.385566e-01,2.240946e-06
500,10,6.701551e-02,5.215041e-03,7.223055e-02,5.885196e-01,1.589274e-06
500,10,6.701551e-02,5.215041e-03,7.223055e-02,5.885196e-01,1.589274e-06
500,11,8.176401e-02,7.705820e-03,8.946982e-02,8.523460e-01,2.409136e-06
500,11,8.176401e-02,7.705820e-03,8.946982e-02,8.523460e-01,2.409136e-06
500,12,6.781918e-02,6.811582e-03,7.463076e-02,7.489774e-01,2.162444e-06
500,12,6.781918e-02,6.811582e-03,7.463076e-02,7.489774e-01,2.162444e-06
500,13,6.634438e-02,5.839354e-03,7.218373e-02,6.502799e-01,1.824150e-06
500,13,6.634438e-02,5.839354e-03,7.218373e-02,6.502799e-01,1.824150e-06
500,14,7.771643e-02,6.354418e-03,8.407085e-02,7.131581e-01,1.955089e-06
500,14,7.771643e-02,6.354418e-03,8.407085e-02,7.131581e-01,1.955089e-06
500,15,8.295764e-02,7.919021e-03,9.087666e-02,8.748598e-01,2.670895e-06
500,15,8.295764e-02,7.919021e-03,9.087666e-02,8.748598e-01,2.670895e-06
500,16,8.298155e-02,6.527910e-03,8.950946e-02,7.357726e-01,2.092460e-06
500,16,8.298155e-02,6.527910e-03,8.950946e-02,7.357726e-01,2.092460e-06
500,17,7.300097e-02,6.879687e-03,7.988065e-02,7.609698e-01,2.169924e-06
500,17,7.300097e-02,6.879687e-03,7.988065e-02,7.609698e-01,2.169924e-06
500,18,6.231891e-02,5.348288e-03,6.766719e-02,5.971478e-01,1.672308e-06
500,18,6.231891e-02,5.348288e-03,6.766719e-02,5.971478e-01,1.672308e-06
500,19,6.994779e-02,6.651673e-03,7.659946e-02,7.351151e-01,1.994836e-06
500,19,6.994779e-02,6.651673e-03,7.659946e-02,7.351151e-01,1.994836e-06
500,20,6.842099e-02,6.249774e-03,7.467077e-02,6.933984e-01,2.044803e-06
500,20,6.842099e-02,6.249774e-03,7.467077e-02,6.933984e-01,2.044803e-06
500,21,6.751709e-02,6.097279e-03,7.361437e-02,6.772450e-01,1.965187e-06
500,21,6.751709e-02,6.097279e-03,7.361437e-02,6.772450e-01,1.965187e-06
500,22,6.502323e-02,6.039687e-03,7.106292e-02,6.689919e-01,1.815739e-06
500,22,6.502323e-02,6.039687e-03,7.106292e-02,6.689919e-01,1.815739e-06
500,23,8.125249e-02,7.409970e-03,8.866246e-02,8.222496e-01,2.235429e-06
500,23,8.125249e-02,7.409970e-03,8.866246e-02,8.222496e-01,2.235429e-06
500,24,8.000323e-02,7.307887e-03,8.731112e-02,8.107919e-01,2.224408e-06
500,24,8.000323e-02,7.307887e-03,8.731112e-02,8.107919e-01,2.224408e-06
500,25,6.678404e-02,6.384040e-03,7.316808e-02,7.051881e-01,1.904372e-06
500,25,6.678404e-02,6.384040e-03,7.316808e-02,7.051881e-01,1.904372e-06
500,26,7.168561e-02,6.721925e-03,7.840753e-02,7.438781e-01,2.163098e-06
500,26,7.168561e-02,6.721925e-03,7.840753e-02,7.438781e-01,2.163098e-06
500,27,6.664492e-02,6.174129e-03,7.281905e-02,6.840578e-01,1.853046e-06
500,27,6.664492e-02,6.174129e-03,7.281905e-02,6.840578e-01,1.853046e-06
500,28,6.650618e-02,5.457478e-03,7.196366e-02,6.122540e-01,1.749713e-06
500,28,6.650618e-02,5.457478e-03,7.196366e-02,6.122540e-01,1.749713e-06
500,29,7.313827e-02,6.500810e-03,7.963908e-02,7.232193e-01,2.024554e-06
500,29,7.313827e-02,6.500810e-03,7.963908e-02,7.232193e-01,2.024554e-06
500,30,8.014414e-02,6.023950e-03,8.616808e-02,6.825392e-01,1.959942e-06
500,30,8.014414e-02,6.023950e-03,8.616808e-02,6.825392e-01,1.959942e-06
500,31,7.114080e-02,6.566054e-03,7.770685e-02,7.277462e-01,2.180916e-06
500,31,7.114080e-02,6.566054e-03,7.770685e-02,7.277462e-01,2.180916e-06
500,32,8.632224e-02,6.872592e-03,9.319483e-02,7.735815e-01,2.222589e-06
500,32,8.632224e-02,6.872592e-03,9.319483e-02,7.735815e-01,2.222589e-06
500,33,7.062940e-02,6.167265e-03,7.679667e-02,6.873559e-01,1.808234e-06
500,33,7.062940e-02,6.167265e-03,7.679667e-02,6.873559e-01,1.808234e-06
500,34,5.813781e-02,6.846212e-03,6.498402e-02,7.427590e-01,1.989125e-06
500,34,5.813781e-02,6.846212e-03,6.498402e-02,7.427590e-01,1.989125e-06
500,35,7.545386e-02,7.736431e-03,8.319030e-02,8.490969e-01,2.425224e-06
500,35,7.545386e-02,7.736431e-03,8.319030e-02,8.490969e-01,2.425224e-06
500,36,7.343190e-02,7.481281e-03,8.091319e-02,8.215600e-01,2.467121e-06
500,36,7.343190e-02,7.481281e-03,8.091319e-02,8.215600e-01,2.467121e-06
500,37,6.998006e-02,6.155372e-03,7.613543e-02,6.855172e-01,1.979301e-06
500,37,6.998006e-02,6.155372e-03,7.613543e-02,6.855172e-01,1.979301e-06
500,38,7.029107e-02,6.541053e-03,7.683212e-02,7.243963e-01,1.905650e-06
500,38,7.029107e-02,6.541053e-03,7.683212e-02,7.243963e-01,1.905650e-06
500,39,7.187104e-02,6.107222e-03,7.797827e-02,6.825932e-01,1.890632e-06
500,39,7.187104e-02,6.107222e-03,7.797827e-02,6.825932e-01,1.890632e-06
500,40,6.989945e-02,6.206510e-03,7.610596e-02,6.905504e-01,1.895693e-06
500,40,6.989945e-02,6.206510e-03,7.610596e-02,6.905504e-01,1.895693e-06
500,41,7.768680e-02,6.624322e-03,8.431113e-02,7.401191e-01,1.996587e-06
500,41,7.768680e-02,6.624322e-03,8.431113e-02,7.401191e-01,1.996587e-06
500,42,7.222235e-02,6.545232e-03,7.876758e-02,7.267455e-01,1.936334e-06
500,42,7.222235e-02,6.545232e-03,7.876758e-02,7.267455e-01,1.936334e-06
