pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,4.51285e-01,4.65200e-01,1.80207e-02,1.69615e-02,1.77
300,2,5.69515e-01,4.87800e-01,1.30161e-02,1.58717e-02,1.64
300,3,5.97900e-01,5.06800e-01,1.19914e-02,1.53376e-02,1.63
300,4,6.13477e-01,5.09400e-01,1.14025e-02,1.50352e-02,1.63
300,5,6.25946e-01,5.21800e-01,1.10023e-02,1.48119e-02,1.63
300,6,6.34154e-01,5.26400e-01,1.07077e-02,1.45623e-02,1.63
300,7,6.40885e-01,5.32400e-01,1.04706e-02,1.44770e-02,1.63
300,8,6.46062e-01,5.32800e-01,1.02745e-02,1.45255e-02,1.63
300,9,6.50462e-01,5.29200e-01,1.01142e-02,1.43583e-02,1.64
300,10,6.54769e-01,5.34800e-01,9.97830e-03,1.43790e-02,1.63
300,11,6.58323e-01,5.38600e-01,9.85523e-03,1.43312e-02,1.63
300,12,6.61108e-01,5.40000e-01,9.74624e-03,1.43049e-02,1.63
300,13,6.64423e-01,5.38600e-01,9.65796e-03,1.43096e-02,1.63
300,14,6.66477e-01,5.39200e-01,9.57615e-03,1.42934e-02,1.63
300,15,6.68831e-01,5.40600e-01,9.49478e-03,1.42007e-02,1.64
300,16,6.71223e-01,5.44000e-01,9.42667e-03,1.42595e-02,1.63
300,17,6.72546e-01,5.40000e-01,9.36507e-03,1.42070e-02,1.63
300,18,6.74008e-01,5.46400e-01,9.30777e-03,1.41902e-02,1.63
300,19,6.75608e-01,5.43200e-01,9.25716e-03,1.42568e-02,1.63
300,20,6.76885e-01,5.41000e-01,9.20349e-03,1.42163e-02,1.63
300,21,6.78954e-01,5.42200e-01,9.16016e-03,1.42190e-02,1.63
300,22,6.79715e-01,5.42000e-01,9.12307e-03,1.41593e-02,1.63
300,23,6.81631e-01,5.41400e-01,9.08020e-03,1.41715e-02,1.60
300,24,6.82046e-01,5.42800e-01,9.04282e-03,1.41644e-02,1.65
300,25,6.81115e-01,5.48000e-01,9.01353e-03,1.41879e-02,1.64
300,26,6.84015e-01,5.45000e-01,8.97530e-03,1.41699e-02,1.64
300,27,6.84585e-01,5.45800e-01,8.94550e-03,1.41417e-02,1.64
300,28,6.85823e-01,5.41600e-01,8.91700e-03,1.41902e-02,1.64
300,29,6.87262e-01,5.43200e-01,8.88853e-03,1.41788e-02,1.64
300,30,6.87346e-01,5.45200e-01,8.85879e-03,1.42349e-02,1.64
300,31,6.88562e-01,5.42400e-01,8.83957e-03,1.41753e-02,1.71
300,32,6.89208e-01,5.48600e-01,8.81905e-03,1.41177e-02,1.68
300,33,6.89600e-01,5.41200e-01,8.79496e-03,1.41036e-02,1.64
300,34,6.90162e-01,5.42600e-01,8.77525e-03,1.42026e-02,2.05
300,35,6.90669e-01,5.40000e-01,8.75403e-03,1.41705e-02,1.64
300,36,6.91823e-01,5.41000e-01,8.73644e-03,1.41495e-02,1.62
300,37,6.91485e-01,5.45600e-01,8.72149e-03,1.42302e-02,1.62
300,38,6.92477e-01,5.44200e-01,8.69838e-03,1.41487e-02,1.62
300,39,6.92562e-01,5.47400e-01,8.68722e-03,1.42081e-02,1.62
300,40,6.93469e-01,5.46000e-01,8.66824e-03,1.41534e-02,1.62
300,41,6.93685e-01,5.46400e-01,8.65291e-03,1.42231e-02,1.62
300,42,6.94492e-01,5.40400e-01,8.63680e-03,1.42576e-02,1.62
300,43,6.95338e-01,5.40800e-01,8.62327e-03,1.41974e-02,1.62
300,44,6.94869e-01,5.44000e-01,8.61456e-03,1.42177e-02,1.63
300,45,6.95708e-01,5.42400e-01,8.59768e-03,1.41719e-02,1.63
300,46,6.95700e-01,5.45400e-01,8.58048e-03,1.42033e-02,1.63
300,47,6.95362e-01,5.42800e-01,8.57725e-03,1.41566e-02,1.63
300,48,6.96154e-01,5.45400e-01,8.56516e-03,1.41665e-02,1.63
300,49,6.97800e-01,5.42600e-01,8.55313e-03,1.41939e-02,1.64
300,50,6.95738e-01,5.47200e-01,8.54345e-03,1.41701e-02,1.78
300,51,6.98315e-01,5.46800e-01,8.52783e-03,1.41643e-02,1.62
300,52,6.96954e-01,5.45600e-01,8.52243e-03,1.42065e-02,1.62
300,53,6.98046e-01,5.39800e-01,8.51366e-03,1.42088e-02,1.66
300,54,6.97992e-01,5.46600e-01,8.50409e-03,1.42413e-02,1.66
300,55,6.98692e-01,5.41400e-01,8.49592e-03,1.42516e-02,1.71
300,56,6.99054e-01,5.45200e-01,8.48538e-03,1.42313e-02,1.66
300,57,6.99015e-01,5.42400e-01,8.47653e-03,1.42570e-02,1.65
300,58,6.99785e-01,5.49000e-01,8.47382e-03,1.41829e-02,1.70
300,59,6.99131e-01,5.44000e-01,8.46546e-03,1.42058e-02,1.65
300,60,7.00046e-01,5.45400e-01,8.45394e-03,1.43122e-02,1.66
300,61,7.00623e-01,5.40800e-01,8.44682e-03,1.42614e-02,1.65
300,62,6.99908e-01,5.47400e-01,8.44597e-03,1.41902e-02,1.66
300,63,7.00592e-01,5.42800e-01,8.43458e-03,1.42505e-02,1.66
300,64,7.00985e-01,5.45400e-01,8.42672e-03,1.41952e-02,1.66
300,65,7.01062e-01,5.46800e-01,8.41951e-03,1.42771e-02,1.74
300,66,7.01246e-01,5.47200e-01,8.41713e-03,1.42453e-02,1.73
300,67,7.00846e-01,5.41800e-01,8.41279e-03,1.41997e-02,1.66
300,68,7.01469e-01,5.40600e-01,8.40367e-03,1.43379e-02,1.67
300,69,7.01231e-01,5.41600e-01,8.40182e-03,1.42560e-02,1.67
300,70,7.00677e-01,5.44400e-01,8.39678e-03,1.42186e-02,1.68
300,71,7.01677e-01,5.44000e-01,8.38708e-03,1.42728e-02,1.67
300,72,7.01892e-01,5.45200e-01,8.38252e-03,1.42523e-02,1.67
300,73,7.01985e-01,5.49200e-01,8.37811e-03,1.41695e-02,1.66
300,74,7.01862e-01,5.44800e-01,8.37594e-03,1.42305e-02,1.67
300,75,7.01538e-01,5.39200e-01,8.37097e-03,1.42566e-02,1.80
300,76,7.02900e-01,5.44600e-01,8.36761e-03,1.43380e-02,1.68
300,77,7.01692e-01,5.45600e-01,8.36328e-03,1.42201e-02,1.67
300,78,7.03200e-01,5.42600e-01,8.35785e-03,1.42997e-02,1.67
300,79,7.02923e-01,5.43800e-01,8.35349e-03,1.43380e-02,1.68
300,80,7.01700e-01,5.41000e-01,8.34704e-03,1.42463e-02,1.68
300,81,7.03662e-01,5.44000e-01,8.34222e-03,1.42941e-02,1.68
300,82,7.03969e-01,5.45000e-01,8.34401e-03,1.42710e-02,1.73
300,83,7.02446e-01,5.47600e-01,8.33879e-03,1.42110e-02,1.69
300,84,7.02846e-01,5.47800e-01,8.33336e-03,1.42552e-02,1.67
300,85,7.03315e-01,5.44200e-01,8.33441e-03,1.41932e-02,1.67
300,86,7.03623e-01,5.35800e-01,8.32765e-03,1.43899e-02,1.67
300,87,7.03423e-01,5.40800e-01,8.32689e-03,1.42882e-02,1.76
300,88,7.03269e-01,5.43200e-01,8.31959e-03,1.42517e-02,1.69
300,89,7.03938e-01,5.45600e-01,8.31895e-03,1.42834e-02,1.69
300,90,7.03615e-01,5.42200e-01,8.31163e-03,1.42617e-02,1.71
300,91,7.04038e-01,5.43600e-01,8.30617e-03,1.43291e-02,1.69
300,92,7.03892e-01,5.40000e-01,8.31146e-03,1.42704e-02,1.69
300,93,7.04069e-01,5.48200e-01,8.30408e-03,1.42690e-02,1.69
300,94,7.04838e-01,5.39800e-01,8.30427e-03,1.43282e-02,1.69
300,95,7.04162e-01,5.37400e-01,8.30398e-03,1.43366e-02,1.69
300,96,7.04515e-01,5.44800e-01,8.29801e-03,1.42446e-02,1.70
300,97,7.04315e-01,5.42800e-01,8.29403e-03,1.42901e-02,1.70
300,98,7.04838e-01,5.42000e-01,8.29449e-03,1.42947e-02,1.73
300,99,7.04377e-01,5.45000e-01,8.29188e-03,1.42430e-02,1.77
300,100,7.04846e-01,5.42600e-01,8.28700e-03,1.43155e-02,1.77
300,101,7.05608e-01,5.42200e-01,8.28425e-03,1.42418e-02,1.71
300,102,7.03462e-01,5.40200e-01,8.28576e-03,1.43114e-02,1.73
300,103,7.05492e-01,5.44000e-01,8.27837e-03,1.43224e-02,1.75
300,104,7.06123e-01,5.40400e-01,8.28048e-03,1.42979e-02,2.02
300,105,7.04808e-01,5.45200e-01,8.27869e-03,1.43082e-02,1.87
300,106,7.06154e-01,5.41200e-01,8.27318e-03,1.43101e-02,1.85
300,107,7.05100e-01,5.43800e-01,8.27310e-03,1.43129e-02,1.76
300,108,7.05185e-01,5.41600e-01,8.27571e-03,1.42900e-02,1.74
300,109,7.05408e-01,5.41400e-01,8.26738e-03,1.43189e-02,1.79
300,110,7.05346e-01,5.44600e-01,8.26525e-03,1.42921e-02,1.77
300,111,7.05854e-01,5.43400e-01,8.27146e-03,1.43034e-02,1.74
300,112,7.06331e-01,5.43600e-01,8.25999e-03,1.42938e-02,1.75
300,113,7.05838e-01,5.40200e-01,8.26120e-03,1.42942e-02,1.73
300,114,7.05554e-01,5.44400e-01,8.26001e-03,1.42793e-02,1.73
300,115,7.06038e-01,5.39400e-01,8.25769e-03,1.43701e-02,1.74
300,116,7.05769e-01,5.47800e-01,8.25780e-03,1.42848e-02,1.74
300,117,7.05408e-01,5.47400e-01,8.25419e-03,1.42583e-02,1.73
300,118,7.05738e-01,5.42200e-01,8.25705e-03,1.43277e-02,1.74
300,119,7.06200e-01,5.38000e-01,8.25173e-03,1.42798e-02,1.74
300,120,7.05592e-01,5.42200e-01,8.25402e-03,1.42885e-02,1.74
300,121,7.05300e-01,5.50400e-01,8.24839e-03,1.43311e-02,1.74
300,122,7.06354e-01,5.42200e-01,8.24779e-03,1.42834e-02,1.75
300,123,7.06177e-01,5.41800e-01,8.24680e-03,1.43191e-02,1.74
300,124,7.07100e-01,5.42600e-01,8.24529e-03,1.43004e-02,1.74
300,125,7.06538e-01,5.43400e-01,8.24901e-03,1.43096e-02,1.80
300,126,7.05700e-01,5.43000e-01,8.24310e-03,1.42816e-02,1.78
300,127,7.06562e-01,5.41800e-01,8.24150e-03,1.43037e-02,1.75
300,128,7.06269e-01,5.41600e-01,8.24202e-03,1.43459e-02,1.76
300,129,7.06546e-01,5.43200e-01,8.24063e-03,1.43445e-02,1.84
300,130,7.05354e-01,5.42200e-01,8.23705e-03,1.42633e-02,1.82
300,131,7.05969e-01,5.46600e-01,8.24146e-03,1.42807e-02,1.73
300,132,7.06769e-01,5.41000e-01,8.23866e-03,1.43499e-02,1.75
300,133,7.06585e-01,5.44200e-01,8.23746e-03,1.43221e-02,1.73
300,134,7.06654e-01,5.41400e-01,8.23550e-03,1.43794e-02,1.70
300,135,7.07223e-01,5.47600e-01,8.23593e-03,1.43018e-02,1.71
300,136,7.07138e-01,5.48600e-01,8.22757e-03,1.43017e-02,1.71
300,137,7.05915e-01,5.43000e-01,8.23647e-03,1.43030e-02,1.70
300,138,7.06962e-01,5.38600e-01,8.23286e-03,1.43002e-02,1.71
300,139,7.07762e-01,5.42400e-01,8.22860e-03,1.43945e-02,1.70
300,140,7.06515e-01,5.45200e-01,8.22919e-03,1.42543e-02,1.75
300,141,7.06985e-01,5.44800e-01,8.23334e-03,1.43213e-02,1.68
300,142,7.07169e-01,5.43800e-01,8.22361e-03,1.43079e-02,1.67
300,143,7.06515e-01,5.44600e-01,8.23010e-03,1.43073e-02,1.68
300,144,7.07492e-01,5.44200e-01,8.22123e-03,1.43482e-02,1.97
300,145,7.06646e-01,5.42000e-01,8.22760e-03,1.42929e-02,1.68
300,146,7.07123e-01,5.39400e-01,8.21940e-03,1.42913e-02,1.68
300,147,7.06746e-01,5.44800e-01,8.22305e-03,1.43051e-02,1.83
300,148,7.06492e-01,5.42200e-01,8.22191e-03,1.43456e-02,1.69
300,149,7.07138e-01,5.45600e-01,8.21714e-03,1.43655e-02,1.68
300,150,7.05931e-01,5.41600e-01,8.21983e-03,1.42552e-02,1.68
300,151,7.06077e-01,5.44800e-01,8.22014e-03,1.43443e-02,1.66
300,152,7.05962e-01,5.48000e-01,8.22424e-03,1.42657e-02,1.67
300,153,7.06500e-01,5.44800e-01,8.22135e-03,1.42876e-02,1.67
300,154,7.06862e-01,5.44400e-01,8.21648e-03,1.43201e-02,1.69
300,155,7.06815e-01,5.42600e-01,8.21522e-03,1.43244e-02,1.68
300,156,7.07454e-01,5.40800e-01,8.21846e-03,1.43299e-02,1.68
300,157,7.06115e-01,5.41000e-01,8.21284e-03,1.43329e-02,1.70
300,158,7.06746e-01,5.46400e-01,8.21410e-03,1.43267e-02,1.70
300,159,7.06500e-01,5.47000e-01,8.21564e-03,1.43444e-02,1.75
300,160,7.06623e-01,5.50600e-01,8.21734e-03,1.43314e-02,1.71
300,161,7.07254e-01,5.45800e-01,8.20946e-03,1.43493e-02,1.69
300,162,7.07085e-01,5.41800e-01,8.20943e-03,1.42636e-02,1.68
300,163,7.06062e-01,5.44400e-01,8.21322e-03,1.42979e-02,1.68
300,164,7.06831e-01,5.43400e-01,8.21355e-03,1.43212e-02,1.81
300,165,7.07408e-01,5.41800e-01,8.21054e-03,1.42757e-02,1.68
300,166,7.08046e-01,5.44200e-01,8.20940e-03,1.43270e-02,1.68
300,167,7.07508e-01,5.39600e-01,8.21555e-03,1.44407e-02,1.87
300,168,7.06800e-01,5.41800e-01,8.20991e-03,1.43481e-02,1.71
300,169,7.07823e-01,5.48000e-01,8.20810e-03,1.42670e-02,1.70
300,170,7.07638e-01,5.44200e-01,8.20421e-03,1.43547e-02,1.70
300,171,7.06792e-01,5.43200e-01,8.20853e-03,1.43857e-02,1.70
300,172,7.07285e-01,5.43000e-01,8.20875e-03,1.43704e-02,1.70
300,173,7.06562e-01,5.45600e-01,8.20780e-03,1.43459e-02,1.70
300,174,7.07269e-01,5.44800e-01,8.20067e-03,1.42767e-02,1.67
300,175,7.07538e-01,5.44600e-01,8.20958e-03,1.43950e-02,1.67
300,176,7.07731e-01,5.40600e-01,8.20197e-03,1.44236e-02,1.68
300,177,7.06915e-01,5.41400e-01,8.20522e-03,1.43699e-02,1.68
300,178,7.06646e-01,5.41600e-01,8.20250e-03,1.43281e-02,1.67
300,179,7.06900e-01,5.46600e-01,8.20523e-03,1.42959e-02,1.70
300,180,7.07200e-01,5.45600e-01,8.20713e-03,1.43366e-02,1.78
300,181,7.07038e-01,5.42000e-01,8.20252e-03,1.43226e-02,1.71
300,182,7.07062e-01,5.42800e-01,8.21090e-03,1.42822e-02,1.70
300,183,7.08046e-01,5.49600e-01,8.20209e-03,1.43318e-02,1.76
300,184,7.07269e-01,5.42800e-01,8.20376e-03,1.43328e-02,1.70
300,185,7.06915e-01,5.42800e-01,8.20144e-03,1.43577e-02,1.69
300,186,7.07254e-01,5.46200e-01,8.19992e-03,1.43149e-02,1.69
300,187,7.07646e-01,5.45600e-01,8.20233e-03,1.43671e-02,1.69
300,188,7.07854e-01,5.43000e-01,8.20685e-03,1.43167e-02,1.70
300,189,7.06846e-01,5.44600e-01,8.20330e-03,1.43344e-02,1.69
300,190,7.08477e-01,5.47200e-01,8.19998e-03,1.42808e-02,1.72
300,191,7.06938e-01,5.43000e-01,8.20286e-03,1.43164e-02,1.68
300,192,7.07969e-01,5.39200e-01,8.20007e-03,1.43384e-02,1.67
300,193,7.06954e-01,5.43200e-01,8.19972e-03,1.43851e-02,1.73
300,194,7.07792e-01,5.41600e-01,8.19612e-03,1.43880e-02,1.76
300,195,7.06192e-01,5.43400e-01,8.20036e-03,1.44140e-02,1.68
300,196,7.08038e-01,5.46200e-01,8.19931e-03,1.43123e-02,1.69
300,197,7.07131e-01,5.40200e-01,8.19457e-03,1.43307e-02,1.72
300,198,7.07308e-01,5.44800e-01,8.19466e-03,1.42950e-02,1.67
300,199,7.07246e-01,5.39800e-01,8.20035e-03,1.43288e-02,1.68
